Date,Party_Name,GSTIN,Taxable_Value,GST_Rate,CGST,SGST,IGST,Total,Narration,Is_Fraud
2025-06-09,Rana Inc,37raGwi7274d1ZB,20796.87,12,1247.8121999999998,1247.8121999999998,0.0,23292.4944,Being goods sold to Rana Inc Inv No 145,0
2025-12-23,Gera-Sen,29YWoBO3375p5ZB,219982.4,0,0.0,0.0,0.0,219982.4,Being goods sold to Gera-Sen Inv No 935,0
2025-12-05,Saini LLC,28VHdSt6461h8ZB,430130.42,12,25807.8252,25807.8252,0.0,481746.0704,Being goods sold to Saini LLC Inv No 829,0
2026-01-07,Prasad LLC,17zBiUn1737K9ZB,103574.39,18,9321.695099999999,9321.695099999999,0.0,122217.7802,Being goods sold to Prasad LLC Inv No 383,0
2025-07-31,Purohit-Minhas,23uIiXp5401A7ZC,156592.93,5,3914.82325,3914.82325,0.0,164422.57649999997,Being goods sold to Purohit-Minhas Inv No 911,0
2026-02-03,"Raju, Sama and Rana",26lrzpx3054e3ZB,453341.72,18,0.0,0.0,81601.50959999999,534943.2296,"Being goods sold to Raju, Sama and Rana Inv No 293",0
2025-10-11,Nori-Dey,30mWUSI9743U7ZB,385948.23,5,0.0,0.0,19297.4115,405245.64149999997,Being goods sold to Nori-Dey Inv No 960,0
2025-08-19,Nagi-Singhal,23fzcYC7435j4ZB,486130.13,18,43751.7117,43751.7117,0.0,573633.5534,Being goods sold to Nagi-Singhal Inv No 503,0
2025-03-14,"Chauhan, Sant and Bhandari",17pvwbW5522X4ZC,191570.19,0,0.0,0.0,0.0,191570.19,"Being goods sold to Chauhan, Sant and Bhandari Inv No 481",0
2025-10-17,Modi-Sharaf,23yeVwu3935o3ZC,16327.25,18,1469.4524999999999,1469.4524999999999,0.0,19266.155,Being goods sold to Modi-Sharaf Inv No 748,0
2025-10-03,Randhawa Ltd,13zGbQY8826u7ZC,31146.87,5,778.67175,778.67175,0.0,32704.2135,Being goods sold to Randhawa Ltd Inv No 472,0
2025-12-12,"Badami, Bobal and Date",21djjei3346C1ZB,197051.77,28,0.0,0.0,55174.4956,252226.26559999998,"Being goods sold to Badami, Bobal and Date Inv No 450",0
2025-03-21,"Barad, Gara and Acharya",14uuOvl5213o1ZA,10755.24,0,0.0,0.0,0.0,10755.24,"Being goods sold to Barad, Gara and Acharya Inv No 401",0
