Date,Party_Name,GSTIN,Taxable_Value,GST_Rate,CGST,SGST,IGST,Total,Narration,Is_Fraud
2025-09-30,Nigam-Sankar,13PtOdC4673J4ZA,13834.0,12,0.0,0.0,1660.08,15494.08,Inv No 2602,0
2025-09-28,"Sengupta, Bansal and Chopra",28LjTIW2900l1ZC,38991.44,28,5458.801600000001,5458.801600000001,0.0,49909.0432,Inv No 3583,0
2025-12-15,"Babu, Goda and Koshy",28crfEt1718k2ZB,4110.83,28,575.5162,575.5162,0.0,5261.8624,Inv No 8212,0
2025-07-17,"Natt, Krishnamurthy and Mani",34pIGbm3370V9ZA,18739.49,5,468.4872500000001,468.4872500000001,0.0,19676.4645,Inv No 5416,0
2025-03-02,Randhawa Inc,35lnofp0562B7ZA,20017.15,12,1201.029,1201.029,0.0,22419.208,Inv No 2834,0
2025-03-14,"Pandya, Chandran and Bora",34hrFFM2384C3ZA,24285.23,28,0.0,0.0,6799.8644,31085.0944,Inv No 2408,0
2025-11-13,Pandya PLC,12LLQVy4776S9ZB,4881.16,28,0.0,0.0,1366.7248000000002,6247.8848,Inv No 1966,0
2025-10-05,Bava PLC,30GzkxX2258C8ZA,37193.59,12,2231.6153999999997,2231.6153999999997,0.0,41656.8208,Inv No 1482,0
2025-06-25,Hegde and Sons,13ZzAco9433i2ZA,3953.89,18,0.0,0.0,711.7002,4665.5902,Inv No 7438,0
2025-07-24,Ravi-Krish,16IVKac0243f3ZC,7835.09,12,470.1054,470.1054,0.0,8775.3008,Inv No 1294,0
2025-09-19,"Pandya, Chandran and Bora",13AIpOP5287k3ZA,4364.75,12,261.885,261.885,0.0,4888.52,Inv No 7259,0
2025-11-19,Chandra and Sons,13MQfBE8634b6ZC,13912.61,28,0.0,0.0,3895.5308000000005,17808.1408,Inv No 3159,0
2026-01-21,Sur LLC,17DsSDm8171h8ZC,4872.91,18,438.5619,438.5619,0.0,5750.033799999999,Inv No 5249,0
2025-05-04,Nazareth PLC,17hAIjA7730j9ZC,36644.79,0,0.0,0.0,0.0,36644.79,Inv No 7355,0
2025-03-23,Chaudhry-Khanna,36dSxXd1557b4ZA,4330.2,18,0.0,0.0,779.4359999999999,5109.6359999999995,Inv No 3561,0
2025-06-24,"Gour, Manne and Sarna",26kCTSl2902a5ZB,34143.57,5,0.0,0.0,1707.1785,35850.7485,Inv No 3684,0
2026-02-26,"Padmanabhan, Bandi and Babu",13Ymuah8677g6ZA,35366.62,0,0.0,0.0,0.0,35366.62,Inv No 5287,0
2025-08-31,"Gour, Manne and Sarna",37bWxKw6260T5ZC,21715.49,0,0.0,0.0,0.0,21715.49,Inv No 6107,0
2025-05-05,Dhar-Manne,37cXNjq6443A4ZA,36713.05,12,2202.783,2202.783,0.0,41118.61600000001,Inv No 4554,0
2025-08-23,Chandra and Sons,28evpqs5112U9ZB,36622.48,12,2197.3488,2197.3488,0.0,41017.1776,Inv No 8787,0
2025-07-07,Krishnamurthy PLC,35OrBKb7025D8ZB,10122.82,28,1417.1948,1417.1948,0.0,12957.209599999998,Inv No 1950,0
2025-11-09,Nazareth PLC,26CpzHx0500a4ZC,21588.76,5,539.7189999999999,539.7189999999999,0.0,22668.198,Inv No 8245,0
2025-03-06,Comar LLC,20STZNG8717g1ZC,25663.9,0,0.0,0.0,0.0,25663.9,Inv No 3277,0
2025-11-03,"Natarajan, Kalita and Gour",36IgWHK1362h7ZC,14986.62,12,0.0,0.0,1798.3944000000001,16785.0144,Inv No 3989,0
2025-04-05,Balasubramanian LLC,37cuZdG8257Y9ZC,9451.67,18,0.0,0.0,1701.3006,11152.9706,Inv No 7667,0
2025-06-01,"Babu, Goda and Koshy",12eHOSL7452P6ZA,32272.1,12,1936.3259999999998,1936.3259999999998,0.0,36144.752,Inv No 9291,0
2025-10-19,Pandya PLC,33WimHp1386K4ZB,22932.06,18,2063.8854,2063.8854,0.0,27059.8308,Inv No 8595,0
2025-09-25,More-Savant,20XvgUL6832U2ZB,7913.6,28,0.0,0.0,2215.8080000000004,10129.408000000001,Inv No 2500,0
2025-04-09,Bath-Grewal,35WFXDj9800b4ZB,26591.27,12,1595.4762,1595.4762,0.0,29782.222400000002,Inv No 1140,0
2026-01-04,Sura-Oak,24ZwuTH8826o1ZA,14416.08,5,0.0,0.0,720.8040000000001,15136.884,Inv No 1753,0
2025-05-25,Ravi-Krish,11lsoNH8757Y6ZA,30532.98,18,0.0,0.0,5495.9364,36028.9164,Inv No 2410,0
2026-01-08,Nigam-Sankar,34YzLjJ4392Z6ZB,13255.52,28,0.0,0.0,3711.5456000000004,16967.0656,Inv No 3591,0
2025-11-11,Sastry-Rastogi,20cirAU3989d4ZB,16994.11,28,2379.1754,2379.1754,0.0,21752.4608,Inv No 8830,0
2025-12-10,Chaudhry-Khanna,37pUwBC8023V2ZA,13197.77,18,1187.7993,1187.7993,0.0,15573.368600000002,Inv No 7525,0
2025-05-21,"Solanki, Sodhi and Singh",27KiHpL3926M9ZC,12951.01,28,0.0,0.0,3626.2828000000004,16577.2928,Inv No 3016,0
2025-06-17,Comar LLC,36trBoA0102f5ZC,37686.4,0,0.0,0.0,0.0,37686.4,Inv No 9411,0
2025-09-19,"Sachdev, Sekhon and Sidhu",32sPfoZ3725i2ZA,29128.02,5,728.2005,728.2005,0.0,30584.421,Inv No 6570,0
2026-01-13,"Sachdev, Sekhon and Sidhu",14zhiKD0459O4ZB,4493.59,12,0.0,0.0,539.2308,5032.8208,Inv No 3754,0
2025-04-07,Sastry-Rastogi,27HedKn0622N4ZB,31469.81,0,0.0,0.0,0.0,31469.81,Inv No 4200,0
2025-09-07,Comar LLC,16obnaU1957F3ZC,18956.95,18,1706.1255,1706.1255,0.0,22369.201,Inv No 5821,0
2025-08-11,Chakrabarti-Balan,22gpVqv7384I9ZC,36357.82,5,0.0,0.0,1817.891,38175.711,Inv No 8326,0
2025-09-02,Nadig-Sharaf,30ZGOaT2450Z2ZC,17155.88,0,0.0,0.0,0.0,17155.88,Inv No 5438,0
2025-09-20,"Padmanabhan, Bandi and Babu",31odNog8340m6ZC,22850.18,18,0.0,0.0,4113.0324,26963.2124,Inv No 5234,0
2025-11-28,Hegde and Sons,20MhpJc4193f1ZA,23610.2,12,0.0,0.0,2833.224,26443.424,Inv No 2910,0
