Date,Party,Total,Narration,Is_Fraud,is_round,is_q_end,v_count,kw_flag
2024-06-03,Wagle-Sundaram,15534.34,Payment for Monthly Office Rent - Inv #141,0,0,1,1,0
2025-05-01,"Sampath, Dave and Borah",15000.0,Payment for Monthly Office Rent - Inv #526,0,1,0,1,0
2025-10-04,Verma PLC,8741.78,Payment for Staff Salary - Inv #210,0,0,0,1,0
2025-05-02,Dhaliwal PLC,55766.89,Payment for Staff Salary - Inv #695,0,0,0,1,0
2025-01-09,"Lad, Bains and Batra",15000.0,Payment for Internet Charges - Inv #309,0,1,0,1,0
2025-05-25,Shanker and Sons,66796.31,Payment for Professional Charges - Inv #723,0,0,0,1,0
2026-01-22,"Parmer, Bhalla and Chana",1420.46,Payment for Stationery Purchase - Inv #555,0,0,0,1,0
2025-02-08,Raghavan Inc,50000.0,Monthly Office Rent,1,1,0,1,0
2025-12-13,Hayer-Sanghvi,57995.73,Payment for Stationery Purchase - Inv #633,0,0,1,1,0
2025-04-08,Sidhu LLC,15000.0,Payment for Internet Charges - Inv #622,0,1,0,1,0
2024-05-10,Lal-Nagar,32058.81,Payment for Electricity Bill Payment - Inv #120,0,0,0,1,0
2024-09-24,Khanna-Rau,25000.0,Internet Charges,1,1,1,1,0
2025-01-07,"Kunda, Vasa and Vohra",56847.76,Payment for Monthly Office Rent - Inv #514,0,0,0,1,0
2025-10-09,Konda-Arya,36551.39,Payment for Professional Charges - Inv #985,0,0,0,1,0
2024-04-19,"Das, Saxena and Deo",33237.87,Payment for Monthly Office Rent - Inv #578,0,0,0,1,0
2026-01-03,Karan-Kannan,5000.0,Payment for Electricity Bill Payment - Inv #300,0,1,0,1,0
2024-04-09,Sunder-Bahl,43919.37,Payment for Stationery Purchase - Inv #347,0,0,0,1,0
2025-05-25,Boase-Keer,59649.27,Payment for Staff Salary - Inv #694,0,0,0,1,0
2024-02-29,Rattan-Ravi,5000.0,Payment for Professional Charges - Inv #573,0,1,0,1,0
2024-09-10,Hayer-Karpe,53433.98,Payment for Monthly Office Rent - Inv #313,0,0,1,1,0
2024-04-22,"Rana, Vasa and Saxena",25000.0,Payment for Internet Charges - Inv #789,0,1,0,1,0
2025-03-24,"Raj, Karan and Lall",50000.0,Payment for Professional Charges - Inv #223,0,1,1,1,0
2024-06-08,Baria PLC,50000.0,Payment for Monthly Office Rent - Inv #122,0,1,1,1,0
2026-01-13,Kaur-Bhatia,5000.0,Payment for Professional Charges - Inv #218,0,1,0,1,0
2024-11-23,"Devi, Thaman and Chada",15000.0,Payment for Electricity Bill Payment - Inv #497,0,1,0,1,0
2024-05-23,"Nanda, Dhar and Das",7028.77,Payment for Staff Salary - Inv #889,0,0,0,1,0
2024-11-13,Bhatt-Naidu,25000.0,Payment for Stationery Purchase - Inv #390,0,1,0,1,0
2025-01-16,Oza-Mody,10000.0,Payment for Professional Charges - Inv #432,0,1,0,1,0
2025-02-18,Randhawa LLC,9777.63,Payment for Professional Charges - Inv #673,0,0,0,1,0
2026-02-27,"Walia, Setty and Mital",24165.35,Payment for Staff Salary - Inv #189,0,0,0,1,0
2024-05-24,Ram-Hayer,75546.42,Payment for Internet Charges - Inv #661,0,0,0,1,0
2024-05-18,"Agate, Gopal and Ravi",25686.88,Payment for Electricity Bill Payment - Inv #809,0,0,0,1,0
2024-05-31,Solanki Inc,5000.0,Payment for Internet Charges - Inv #903,0,1,0,1,0
2024-12-01,Banik PLC,10000.0,Payment for Internet Charges - Inv #312,0,1,1,1,0
2024-03-23,Dada Group,61803.96,Payment for Monthly Office Rent - Inv #894,0,0,1,1,0
2026-01-21,"Varughese, Ratti and Viswanathan",39967.73,Payment for Professional Charges - Inv #473,0,0,0,1,0
2025-06-22,Kapoor-Sura,15000.0,Payment for Internet Charges - Inv #853,0,1,1,1,0
2025-06-21,Agrawal PLC,10000.0,Payment for Staff Salary - Inv #756,0,1,1,1,0
2024-10-29,Prashad PLC,25000.0,Electricity Bill Payment,1,1,0,1,0
2025-02-08,Gupta-Tata,50000.0,Payment for Stationery Purchase - Inv #631,0,1,0,1,0
2024-12-29,Chahal-Murthy,56048.54,Payment for Stationery Purchase - Inv #821,0,0,1,1,0
2025-07-06,Som-Reddy,32081.17,Payment for Stationery Purchase - Inv #960,0,0,0,1,0
2024-04-10,Batta PLC,25000.0,Payment for Monthly Office Rent - Inv #603,0,1,0,1,0
2024-06-19,Shankar-Ahuja,66898.02,Payment for Monthly Office Rent - Inv #511,0,0,1,1,0
2025-10-26,Sagar PLC,48575.91,Payment for Stationery Purchase - Inv #421,0,0,0,1,0
2026-02-25,Dhar and Sons,65141.3,Payment for Staff Salary - Inv #787,0,0,0,1,0
2025-06-18,Singhal-Mukherjee,42344.06,Payment for Stationery Purchase - Inv #328,0,0,1,1,0
2025-11-21,D’Alia-D’Alia,49774.72,Payment for Professional Charges - Inv #747,0,0,0,1,0
2025-07-20,"Nair, Narula and Lata",57421.49,Payment for Stationery Purchase - Inv #558,0,0,0,1,0
2025-02-21,Wali Inc,30235.18,Payment for Monthly Office Rent - Inv #634,0,0,0,1,0
2024-11-03,Swaminathan Ltd,25000.0,Payment for Professional Charges - Inv #636,0,1,0,1,0
2025-08-11,Sandhu Group,8471.43,Payment for Internet Charges - Inv #757,0,0,0,1,0
2024-04-27,Krishna-Varghese,25000.0,Payment for Monthly Office Rent - Inv #664,0,1,0,1,0
2024-11-11,Bala LLC,52095.64,Payment for Staff Salary - Inv #738,0,0,0,1,0
2025-12-24,Sarkar LLC,77669.99,Payment for Electricity Bill Payment - Inv #270,0,0,1,1,0
2024-05-04,Gokhale-Majumdar,1601.97,Payment for Stationery Purchase - Inv #143,0,0,0,1,0
2026-01-13,Dubey Group,17805.36,Payment for Internet Charges - Inv #985,0,0,0,1,0
2025-02-01,Desai-Sarin,25000.0,Payment for Internet Charges - Inv #315,0,1,0,1,0
2024-09-10,Krishna-Mohanty,73472.42,Payment for Stationery Purchase - Inv #900,0,0,1,1,0
2025-02-03,"Virk, Chada and Saraf",64386.73,Payment for Stationery Purchase - Inv #949,0,0,0,1,0
2024-06-18,Narayanan Ltd,63108.28,Payment for Internet Charges - Inv #265,0,0,1,1,0
2025-05-08,Barad-Viswanathan,5000.0,Payment for Stationery Purchase - Inv #428,0,1,0,1,0
2025-09-02,Banik Ltd,52562.28,Payment for Staff Salary - Inv #220,0,0,1,1,0
2025-04-02,Bhatt-Oak,50000.0,Payment for Monthly Office Rent - Inv #270,0,1,0,1,0
2024-04-03,Salvi Ltd,47865.35,Payment for Staff Salary - Inv #370,0,0,0,1,0
2024-10-15,Dixit-Ray,15405.41,Payment for Electricity Bill Payment - Inv #562,0,0,0,1,0
