Taxable_Value,Total,is_round_amount,is_weekend,tax_mismatch,keyword_flag,vendor_daily_count,is_structured_split,Is_Fraud
17647.61,18529.9905,0,0,0,0,1,0,0
9637.85,10794.392,0,0,0,0,1,0,0
36553.39,40939.7968,0,0,0,0,1,0,0
33128.4,39091.512,0,0,0,0,1,0,0
18608.17,19538.5785,0,0,0,0,2,1,0
50000.0,59000.0,1,0,1,0,1,0,1
8985.93,10064.2416,0,0,0,0,1,0,0
9137.02,9593.871,0,0,0,0,3,1,0
25000.0,29500.0,0,0,0,1,2,1,1
25000.0,29500.0,0,0,0,1,2,1,1
24618.02,25848.921,0,1,0,0,1,0,0
6101.08,6101.08,0,0,0,0,2,0,0
26041.43,27343.5015,0,1,0,0,2,1,0
33526.32,39561.05759999999,0,0,0,0,1,0,0
34091.73,38182.7376,0,0,0,0,1,0,0
35898.91,37693.855500000005,0,0,0,0,1,0,0
33770.46,37822.9152,0,1,0,0,2,0,0
1926.31,2022.6255,0,0,0,0,1,0,0
1529.67,1713.2304,0,0,0,0,1,0,0
22479.76,25177.3312,0,1,0,0,1,0,0
37138.43,41595.0416,0,1,0,0,1,0,0
31356.54,31356.54,0,0,0,0,1,0,0
22416.98,22416.98,0,0,0,0,1,0,0
23798.68,28082.4424,0,0,0,0,1,0,0
8255.8,9741.844,0,0,0,0,1,0,0
32586.09,41710.1952,0,1,0,0,1,0,0
38368.62,45274.9716,0,0,0,0,2,0,0
3804.26,4260.7712,0,0,0,0,2,0,0
37620.14,44391.7652,0,1,0,0,1,0,0
17041.17,21812.6976,0,0,0,0,1,0,0
16412.26,19366.4668,0,0,0,0,1,0,0
19317.52,24726.4256,0,0,0,0,1,0,0
17899.8,22911.744,0,0,0,0,2,1,0
14267.64,14981.022,0,0,0,0,2,0,0
20959.65,24732.387,0,1,0,0,2,1,0
16426.46,21025.8688,0,0,0,0,1,0,0
4878.19,6244.083199999999,0,0,0,0,1,0,0
28069.15,31437.448000000004,0,0,0,1,1,0,1
21491.7,27509.376,0,0,0,0,2,1,0
3487.39,4115.120199999999,0,1,0,0,1,0,0
14715.79,17364.6322,0,1,0,0,1,0,0
7633.28,7633.28,0,0,0,0,1,0,0
23484.02,26302.1024,0,0,0,0,1,0,0
15421.54,18197.4172,0,1,0,0,1,0,0
19368.54,19368.54,0,1,0,0,2,1,0
35944.0,42413.92,0,1,0,0,1,0,0
13423.62,17182.2336,0,0,0,0,1,0,0
26914.98,26914.98,0,0,0,0,1,0,0
27469.87,30766.2544,0,0,0,0,1,0,0
24111.54,28451.6172,0,0,0,0,1,0,0
38875.45,45873.031,0,0,0,0,1,0,0
13937.77,17840.3456,0,1,0,0,1,0,0
11081.23,11635.2915,0,0,0,0,1,0,0
22921.22,25671.7664,0,0,0,0,1,0,0
29250.72,37440.9216,0,0,0,0,2,0,0
27344.98,35001.5744,0,1,0,0,1,0,0
32827.54,32827.54,0,0,0,0,1,0,0
27240.14,27240.14,0,0,0,0,1,0,0
37915.95,44740.821,0,0,0,0,1,0,0
26031.76,30717.4768,0,0,0,0,1,0,0
6575.16,8416.2048,0,1,0,0,3,0,0
39595.01,46722.111800000006,0,0,0,0,1,0,0
3885.31,4584.6658,0,0,0,0,1,0,0
19039.97,21324.7664,0,0,0,0,1,0,0
21332.88,27306.086400000004,0,1,0,0,1,0,0
31322.28,31322.28,0,1,0,0,1,0,0
17972.57,23004.8896,0,0,0,0,1,0,0
5131.91,5388.505499999999,0,0,0,0,1,0,0
35692.3,37476.915,0,0,0,0,1,0,0
6314.42,7072.1504,0,0,0,0,1,0,0
13204.38,15581.1684,0,0,0,0,1,0,0
34103.18,40241.752400000005,0,0,0,0,2,0,0
22101.96,26080.3128,0,0,0,0,1,0,0
5450.02,6431.0236,0,0,0,0,1,0,0
9755.97,10243.7685,0,0,0,0,1,0,0
17659.19,19778.2928,0,0,0,0,1,0,0
21186.26,22245.573,0,0,0,0,1,0,0
20855.86,20855.86,0,0,0,0,1,0,0
20052.85,25667.648,0,0,0,0,1,0,0
18116.8,21377.824,0,0,0,0,1,0,0
21355.26,22423.023,0,0,0,0,1,0,0
33466.12,42836.6336,0,1,0,0,1,0,0
20629.25,20629.25,0,0,0,0,2,0,0
19294.36,21609.6832,0,0,0,0,2,1,0
29688.53,33251.1536,0,1,0,0,1,0,0
